level_3rd,skill_type,tags
基金销售,金融资格证书,基金从业资格证|_|期货从业资格证|_|证券从业资格证
基金项目经理,基金类型,ETF基金|_|FOF基金|_|QDII基金|_|产业基金|_|保险基金|_|信托基金|_|公募基金|_|契约型基金|_|对冲基金|_|并购基金|_|开放式基金|_|政府引导基金|_|海外基金|_|理财基金|_|私募基金|_|股权投资基金|_|股票基金|_|证券投资基金|_|货币基金
基金项目经理,基金领域,IT/互联网|_|IT服务|_|O2O|_|TMT|_|VR/AR|_|云计算/大数据|_|交通/物流|_|人工智能行业|_|体育行业|_|养老/孤儿/看护|_|军工制造|_|制造业|_|化工|_|区块链|_|医疗大健康|_|医疗设备/器械|_|医药制造|_|大消费|_|广告/传媒|_|建筑业|_|影视行业|_|房地产|_|教育培训|_|文化/娱乐|_|新媒体|_|新能源|_|旅游业|_|检测/认证|_|汽车行业|_|游戏领域|_|物联网|_|环保|_|电子/半导体|_|电子商务|_|硬件行业|_|网络/信息安全|_|能源|_|软件行业|_|通信/网络设备
基金项目经理,客户类型,个人客户|_|机构客户
基金项目经理,工作方向,基金募集|_|基金合规|_|基金营销|_|基金设立|_|基金设计|_|基金运营|_|基金风控
基金项目经理,证书/职称,ACCA特许公认会计师|_|AICPA美国注册会计师|_|CFA特许金融分析师|_|CPAA澳洲注册会计师|_|CPA专业阶段通过|_|CPA全科通过|_|CPA执业会员|_|CPA非执业会员|_|基金从业资格证|_|证券从业资格证
塑料工程师,塑料工作方向,压塑工艺|_|压延工艺|_|发泡工艺|_|吸塑工艺|_|吹塑工艺|_|塑料工艺|_|塑料模具|_|塑料研发|_|塑料配色|_|挤出工艺|_|注塑工艺
塑料工程师,塑料类型,ABS|_|EVOH|_|MPPO|_|PA|_|PAR|_|PASF|_|PBT|_|PC|_|PE|_|PET|_|POM|_|PP|_|PPO|_|PS|_|PU|_|PVC|_|工程塑料|_|通用塑料
声乐教师,授课方式,一对一授课|_|线上授课|_|线下授课|_|集体授课
声乐教师,教师类型,助教|_|双语教师|_|家教|_|教研
声乐教师,教育阶段,初中教育|_|学前教育|_|小学教育|_|成人教育|_|高中教育
复卷工,从业背景,包装厂|_|印刷厂|_|塑胶厂|_|模切厂|_|涂布厂|_|胶粘带厂|_|造纸厂
复卷工,应用材料,云母带|_|纸类|_|薄膜
外汇分析师,分析方向,基本面分析|_|外汇交易分析|_|技术面分析|_|汇率分析|_|风险分析
外汇分析师,证书/职称,基金从业资格证|_|外汇交易员证|_|外汇从业资格证|_|期货从业资格证|_|特许金融分析师一级|_|特许金融分析师三级|_|特许金融分析师二级|_|证券从业资格证
外科医生,医疗机构,专科医院|_|中医医院|_|体检中心|_|公立医院|_|医美机构|_|医院|_|在线医疗|_|外资医院|_|民办医院
外科医生,医院级别,一乙医院|_|一甲医院|_|三乙医院|_|三甲医院|_|二乙医院|_|二甲医院
外科医生,科室分类,乳腺外科|_|器官移植|_|外伤科|_|心脏外科|_|心血管外科|_|手足外科|_|整形外科|_|显微外科|_|普外科|_|泌尿外科|_|烧伤科|_|神经外科|_|肛肠外科|_|肝胆外科|_|胸外科|_|骨科
外科医生,证书/职称,主任医师|_|主治医师|_|副主任医师|_|助理医师执业证（临床）|_|医士职称|_|医师执业证（临床）|_|医师职称
外籍教师,授课方式,线上教育|_|线下教育
外籍教师,教师类型,助教|_|外教|_|家教|_|授课老师|_|教学管理|_|教研
外籍教师,教授人群,初中生|_|大学生|_|学龄前儿童|_|小学生|_|高中生
外籍教师,证书/职称,CELT-P英语教学证书|_|CELT-S英语教学证书|_|CELTA剑桥大学教师证书|_|TEFL英语教师资格证|_|TESOL国际英语教师资格证|_|TKT英语教学能力证书考试
外籍教师,课程科目,丹麦语|_|乌尔都语|_|俄语|_|保加利亚语|_|冰岛语|_|匈牙利语|_|印地语|_|印度尼西亚语|_|土耳其语|_|孟加拉语|_|尼泊尔语|_|希伯来语|_|希腊语|_|德语|_|意大利语|_|拉丁语|_|挪威语|_|捷克语|_|日语|_|柬埔寨语|_|法语|_|波兰语|_|波斯语|_|泰语|_|瑞典语|_|缅甸语|_|罗马尼亚语|_|老挝语|_|芬兰语|_|英语|_|荷兰语|_|菲律宾语|_|葡萄牙语|_|西班牙语|_|越南语|_|阿拉伯语|_|韩语|_|马来语
外语教师,授课方式,一对一授课|_|线上授课|_|线下授课|_|集体授课
外语教师,教师类型,助教|_|双语教师|_|外教|_|家教|_|教研
外语教师,教育阶段,初中教育|_|大学教育|_|学前教育|_|小学教育|_|成人教育|_|高中教育
外语教师,资格证书,CET4|_|CET6|_|TEM4|_|TEM8
外贸业务员,供应链采购职能,供应商管理|_|供应商管理|_|供应链管理|_|供应链管理|_|采购管理|_|采购管理
外贸业务员,工作性质,全职|_|全职|_|全职兼职均可|_|全职兼职均可|_|兼职|_|兼职
外贸业务员,海外市场区域,东南亚地区|_|东南亚地区|_|中东市场|_|中东市场|_|亚洲其他市场|_|亚洲其他市场|_|北美市场|_|北美市场|_|拉美市场|_|拉美市场|_|日韩市场|_|日韩市场|_|欧洲市场|_|欧洲市场|_|欧美市场|_|欧美市场|_|海外|_|海外|_|澳新市场|_|澳新市场|_|非洲市场|_|非洲市场
外贸业务员,语言方向,俄语|_|俄语|_|德语|_|德语|_|意大利语|_|意大利语|_|日语|_|日语|_|法语|_|法语|_|葡萄牙语|_|葡萄牙语|_|西班牙语|_|西班牙语|_|阿拉伯语|_|阿拉伯语|_|韩语|_|韩语
外贸业务员,资格证书,CET-4|_|CET-4|_|CET-6|_|CET-6|_|IELTS|_|IELTS|_|NSS-4|_|NSS-4|_|NSS-8|_|NSS-8|_|PGH-4|_|PGH-4|_|PGH-8|_|PGH-8|_|TEM-4|_|TEM-4|_|TEM-8|_|TEM-8|_|TFS-4|_|TFS-4|_|TFS-8|_|TFS-8|_|TOEFL|_|TOEFL|_|ТРЯ-4|_|ТРЯ-4|_|ТРЯ-8|_|ТРЯ-8
外贸业务员,采购贸易品类,3C数码产品|_|3C数码产品|_|五金零件|_|五金零件|_|仪器仪表|_|仪器仪表|_|办公设备|_|办公设备|_|化妆品|_|化妆品|_|医疗器械|_|医疗器械|_|家居用品|_|家居用品|_|家电产品|_|家电产品|_|建筑建材|_|建筑建材|_|快消品|_|快消品|_|教辅图书|_|教辅图书|_|日化个护|_|日化个护|_|服装纺织品|_|服装纺织品|_|机械设备|_|机械设备|_|机械零部件|_|机械零部件|_|汽车零部件|_|汽车零部件|_|烟酒饮料|_|烟酒饮料|_|照明灯具|_|照明灯具|_|珠宝首饰|_|珠宝首饰|_|生鲜果蔬|_|生鲜果蔬|_|电子元器件|_|电子元器件|_|礼品工艺品|_|礼品工艺品|_|药品|_|药品|_|装饰建材|_|装饰建材|_|食品|_|食品
外贸业务员,采购贸易渠道,ebay平台|_|ebay平台|_|shopee平台|_|shopee平台|_|wish平台|_|wish平台|_|中国制造网|_|中国制造网|_|亚马逊平台|_|亚马逊平台|_|外贸展会|_|外贸展会|_|敦煌网|_|敦煌网|_|环球资源网|_|环球资源网|_|阿里巴巴国际站|_|阿里巴巴国际站
外贸业务员,销售方式,代理商销售|_|代理商销售|_|大客户销售|_|大客户销售|_|渠道销售|_|渠道销售
外贸业务员,销售行业属性,内贸销售|_|内贸销售|_|外贸销售|_|外贸销售
外贸经理,供应链采购职能,供应商管理|_|供应商管理|_|供应链管理|_|供应链管理|_|采购管理|_|采购管理
外贸经理,海外市场区域,东南亚地区|_|东南亚地区|_|中东市场|_|中东市场|_|亚洲其他市场|_|亚洲其他市场|_|北美市场|_|北美市场|_|拉美市场|_|拉美市场|_|日韩市场|_|日韩市场|_|欧洲市场|_|欧洲市场|_|欧美市场|_|欧美市场|_|海外|_|海外|_|澳新市场|_|澳新市场|_|非洲市场|_|非洲市场
外贸经理,语言方向,俄语|_|俄语|_|德语|_|德语|_|意大利语|_|意大利语|_|日语|_|日语|_|法语|_|法语|_|葡萄牙语|_|葡萄牙语|_|西班牙语|_|西班牙语|_|阿拉伯语|_|阿拉伯语|_|韩语|_|韩语
外贸经理,资格证书,CET-4|_|CET-4|_|CET-6|_|CET-6|_|IELTS|_|IELTS|_|NSS-4|_|NSS-4|_|NSS-8|_|NSS-8|_|PGH-4|_|PGH-4|_|PGH-8|_|PGH-8|_|TEM-4|_|TEM-4|_|TEM-8|_|TEM-8|_|TFS-4|_|TFS-4|_|TFS-8|_|TFS-8|_|TOEFL|_|TOEFL|_|ТРЯ-4|_|ТРЯ-4|_|ТРЯ-8|_|ТРЯ-8
外贸经理,采购贸易品类,3C数码产品|_|3C数码产品|_|五金零件|_|五金零件|_|仪器仪表|_|仪器仪表|_|办公设备|_|办公设备|_|化妆品|_|化妆品|_|医疗器械|_|医疗器械|_|家居用品|_|家居用品|_|家电产品|_|家电产品|_|建筑建材|_|建筑建材|_|快消品|_|快消品|_|教辅图书|_|教辅图书|_|日化个护|_|日化个护|_|服装纺织品|_|服装纺织品|_|机械设备|_|机械设备|_|机械零部件|_|机械零部件|_|汽车零部件|_|汽车零部件|_|烟酒饮料|_|烟酒饮料|_|照明灯具|_|照明灯具|_|珠宝首饰|_|珠宝首饰|_|生鲜果蔬|_|生鲜果蔬|_|电子元器件|_|电子元器件|_|礼品工艺品|_|礼品工艺品|_|药品|_|药品|_|装饰建材|_|装饰建材|_|食品|_|食品
外贸经理,销售方式,代理商销售|_|代理商销售|_|大客户销售|_|大客户销售|_|渠道销售|_|渠道销售
外贸经理,销售行业属性,内贸销售|_|内贸销售|_|外贸销售|_|外贸销售
外贸销售,供应链采购职能,供应商管理|_|供应商管理|_|供应链管理|_|供应链管理|_|采购管理|_|采购管理
外贸销售,工作性质,全职|_|全职|_|全职兼职均可|_|全职兼职均可|_|兼职|_|兼职
外贸销售,海外市场区域,东南亚地区|_|东南亚地区|_|中东市场|_|中东市场|_|亚洲其他市场|_|亚洲其他市场|_|北美市场|_|北美市场|_|拉美市场|_|拉美市场|_|日韩市场|_|日韩市场|_|欧洲市场|_|欧洲市场|_|欧美市场|_|欧美市场|_|海外|_|海外|_|澳新市场|_|澳新市场|_|非洲市场|_|非洲市场
外贸销售,语言方向,俄语|_|俄语|_|德语|_|德语|_|意大利语|_|意大利语|_|日语|_|日语|_|法语|_|法语|_|葡萄牙语|_|葡萄牙语|_|西班牙语|_|西班牙语|_|阿拉伯语|_|阿拉伯语|_|韩语|_|韩语
外贸销售,资格证书,CET-4|_|CET-4|_|CET-6|_|CET-6|_|IELTS|_|IELTS|_|NSS-4|_|NSS-4|_|NSS-8|_|NSS-8|_|PGH-4|_|PGH-4|_|PGH-8|_|PGH-8|_|TEM-4|_|TEM-4|_|TEM-8|_|TEM-8|_|TFS-4|_|TFS-4|_|TFS-8|_|TFS-8|_|TOEFL|_|TOEFL|_|ТРЯ-4|_|ТРЯ-4|_|ТРЯ-8|_|ТРЯ-8
外贸销售,采购贸易品类,3C数码产品|_|3C数码产品|_|五金零件|_|五金零件|_|仪器仪表|_|仪器仪表|_|办公设备|_|办公设备|_|化妆品|_|化妆品|_|医疗器械|_|医疗器械|_|家居用品|_|家居用品|_|家电产品|_|家电产品|_|建筑建材|_|建筑建材|_|快消品|_|快消品|_|教辅图书|_|教辅图书|_|日化个护|_|日化个护|_|服装纺织品|_|服装纺织品|_|机械设备|_|机械设备|_|机械零部件|_|机械零部件|_|汽车零部件|_|汽车零部件|_|烟酒饮料|_|烟酒饮料|_|照明灯具|_|照明灯具|_|珠宝首饰|_|珠宝首饰|_|生鲜果蔬|_|生鲜果蔬|_|电子元器件|_|电子元器件|_|礼品工艺品|_|礼品工艺品|_|药品|_|药品|_|装饰建材|_|装饰建材|_|食品|_|食品
外贸销售,采购贸易渠道,ebay平台|_|ebay平台|_|shopee平台|_|shopee平台|_|wish平台|_|wish平台|_|中国制造网|_|中国制造网|_|亚马逊平台|_|亚马逊平台|_|外贸展会|_|外贸展会|_|敦煌网|_|敦煌网|_|环球资源网|_|环球资源网|_|阿里巴巴国际站|_|阿里巴巴国际站
外贸销售,销售方式,代理商销售|_|代理商销售|_|大客户销售|_|大客户销售|_|渠道销售|_|渠道销售
外贸销售,销售行业属性,内贸销售|_|内贸销售|_|外贸销售|_|外贸销售
多媒体设计师,交互设计方向,动效设计
多媒体设计师,后期制作方向,视频剪辑
多媒体设计师,平面设计方向,平面设计
多媒体设计师,广告设计方向,广告设计
多媒体设计师,设计职能,设计主管|_|设计师|_|设计师助理|_|设计总监|_|设计经理
多媒体设计师,设计软件,3D MAX|_|AE|_|CAD|_|MAYA|_|Nuendo|_|PhotoShop|_|Premiere|_|Spine|_|U3D|_|达芬奇
大堂助理,证书/职称,会计从业资格证|_|基金从业资格证|_|证券从业资格证|_|银行从业资格证
大堂助理,面向对象,TO B|_|TO C|_|TO G
大堂经理,资格证书,CCBP|_|中级会计师
大堂经理,面向对象,TO B|_|TO C|_|TO G
大学教师,授课方式,一对一授课|_|线上授课|_|线下授课|_|集体授课
大学教师,教师类型,双语教师|_|外教
大学教师,教育阶段,初中教育|_|大学教育|_|学前教育|_|小学教育|_|成人教育|_|高中教育
大学教师,课程类别,化学|_|历史|_|奥数|_|政治|_|数学|_|文科|_|物理|_|生物|_|英语
大学教授,授课方式,一对一授课|_|线上授课|_|线下授课|_|集体授课
大学教授,教师类型,双语教师|_|外教
大学教授,教育阶段,初中教育|_|大学教育|_|学前教育|_|小学教育|_|成人教育|_|高中教育
大学教授,课程类别,化学|_|历史|_|奥数|_|政治|_|数学|_|文科|_|物理|_|生物|_|英语
大客户代表,销售方式,会销|_|大客户销售|_|网销|_|面销
大客户代表,销售行业属性,保健品销售|_|保险销售|_|信用卡销售|_|基金销售|_|外贸销售|_|房屋租赁|_|新车销售|_|期货销售|_|汽车配件销售|_|汽车销售|_|物流销售|_|珠宝销售|_|理财销售|_|贵金属销售|_|软件销售|_|酒水销售|_|食品销售
大巴司机,从业经验,代驾司机|_|军人|_|商务司机|_|校车司机|_|网约车司机
大巴司机,证书,A1驾驶证|_|A2驾驶证|_|A3驾驶证|_|B1驾驶证|_|B2驾驶证|_|C1驾驶证|_|C2驾驶证|_|出租汽车驾驶员从业资格证
大巴司机,驾龄,10年及以上|_|2-3年|_|4-5年|_|6-7年|_|8-9年
大数据讲师,大数据技术,Flink|_|Flume|_|HDFS|_|Hadoop|_|Hive|_|Impala|_|Kafka|_|MapReduce|_|Spark|_|Storm|_|Yarn
大数据讲师,大数据方向,ETL开发|_|大数据分析|_|大数据开发|_|报表开发|_|数仓开发|_|数据可视化|_|数据建模|_|数据挖掘|_|数据治理|_|数据清洗|_|数据迁移|_|数据采集|_|数据集市|_|架构设计
大数据讲师,数据库,DB2|_|Hbase|_|MongoDB|_|MySQL|_|Oracle|_|PostgreSQL|_|Redis|_|SQL Sever|_|Teradata
大数据讲师,编程语言,GO|_|Java|_|Perl|_|Python|_|R语言|_|Scala|_|Shell
天然气技术人员,工作方向,储运设计|_|热力工程设计|_|燃气工程设计|_|燃气服务|_|电气工程设计|_|石油工程设计|_|管道设计|_|设备研发运维
天然气技术人员,工艺类型,修井工艺|_|储运工艺|_|勘探工艺|_|增产工艺|_|开采工艺|_|炼化工艺|_|钻井工艺
头疗师,医生工作内容,刮痧|_|拔罐|_|艾灸
头疗师,美容养生技能,SPA按摩|_|中医按摩|_|小儿推拿|_|泰式按摩|_|理疗推拿|_|肩颈按摩|_|针灸
夹具工程师,机械加工工艺,冲压工艺|_|装配工艺|_|钣金工艺
夹具工程师,设计软件,AutoCAD|_|CAD|_|SolidWorks|_|UG
夹具工程师,语言方向,英语
奶茶师,——,
妇产科医生,医疗机构,专科医院|_|中医医院|_|体检中心|_|公立医院|_|医美机构|_|医院|_|在线医疗|_|外资医院|_|妇幼医院|_|民办医院
妇产科医生,医院级别,一乙医院|_|一甲医院|_|三乙医院|_|三甲医院|_|二乙医院|_|二甲医院
妇产科医生,科室分类,产科|_|妇科
妇产科医生,证书/职称,主任医师|_|主治医师|_|副主任医师|_|助理医师执业证（临床）|_|医士职称|_|医师执业证（临床）|_|医师职称|_|母婴保健技术考核合格证书
婚恋咨询师,资格证书,心理咨询师二级|_|心理咨询师证
婚恋咨询师,销售行业属性,情感咨询
婚礼策划,婚礼类型,中式婚礼|_|婚礼监督|_|户外婚礼|_|教堂婚礼|_|沙滩婚礼|_|海外婚礼|_|草坪婚礼|_|蜜月策划
媒介专员,媒介渠道类型,KOL|_|传统媒体|_|电商媒介|_|网络媒体
媒介专员,市场工作内容,媒介合作|_|媒介投放|_|媒体资源拓展|_|广告投放
媒介合作,媒介渠道类型,KOL|_|传统媒体|_|电商媒介|_|网络媒体
媒介合作,市场工作内容,媒介策划|_|媒体资源拓展|_|广告投放
媒介合作,广告类型,印刷广告|_|媒体广告|_|户外广告|_|新媒体广告|_|游戏广告|_|网络广告|_|视听广告
媒介总监,媒介渠道类型,KOL|_|传统媒体|_|电商媒介|_|网络媒体
媒介总监,市场工作方向,市场策划|_|广告媒介
媒介投放,媒介渠道类型,KOL|_|传统媒体|_|电商媒介|_|网络媒体
媒介投放,市场工作内容,媒介策划|_|广告投放
媒介投放,广告类型,印刷广告|_|媒体广告|_|户外广告|_|新媒体广告|_|游戏广告|_|网络广告|_|视听广告
媒介策划,媒介渠道类型,KOL|_|传统媒体|_|电商媒介|_|网络媒体
媒介策划,市场工作方向,市场策划|_|广告媒介
媒介管理,媒介渠道类型,KOL|_|传统媒体|_|电商媒介|_|网络媒体
媒介管理,市场工作方向,市场策划|_|广告媒介
媒介经理,媒介渠道类型,KOL|_|传统媒体|_|电商媒介|_|网络媒体
媒介经理,市场工作方向,市场策划|_|广告媒介
媒介顾问,媒介渠道类型,KOL|_|传统媒体|_|电商媒介|_|网络媒体
媒介顾问,市场工作内容,媒介合作|_|媒介投放|_|媒体资源拓展|_|广告投放
学习管理师,工作方向,升学规划|_|学习指导|_|学员管理|_|家校沟通|_|排课管理|_|教务管理|_|留学规划
学徒工,打样/制版方向,服装打样制版|_|染色打样|_|皮革打样|_|鞋子打样
学徒工,木工职能,操作开料设备|_|木料下料|_|木料开料|_|木料选材|_|木材成品制作|_|木结构拼装
学徒工,机械加工工艺,压塑工艺|_|吸塑工艺|_|吹塑工艺|_|手工焊|_|挤塑工艺|_|气保焊|_|波峰焊|_|注塑工艺|_|消失模铸造工艺|_|熔模铸造工艺|_|电焊|_|电阻焊|_|自动焊|_|装配工艺|_|超声波焊|_|钣金工艺|_|铆焊|_|锻造成形工艺
学徒工,汽车服务职能,抛光打蜡|_|汽车喷漆|_|汽车改装|_|汽车维修|_|汽车美容|_|汽车贴膜|_|轮胎工|_|镀晶镀膜
学徒工,电工方向,低压电工|_|弱电电工|_|强电电工|_|电力线路工|_|维修电工|_|装配电工|_|高压电工
学徒工,资格证书,C1驾驶证|_|电工证
学徒工,钻床类型,摇臂钻床|_|数控钻床|_|立式钻床
学徒工,静电喷涂工艺,出炉冷却|_|喷涂前处理|_|高温固化
学术推广,推广科室,中医科|_|体检科|_|儿科|_|全科|_|内科|_|内镜科|_|口腔科|_|外科|_|妇产科|_|影像科|_|心理科|_|心血管科|_|急诊科|_|手术室|_|检验科|_|消毒科|_|电镜室|_|疼痛科|_|皮肤科|_|眼科|_|神经科|_|精神科|_|耳鼻咽喉科|_|肿瘤科|_|血液透析室|_|运动医学科|_|重症医学科|_|预防保健中心|_|麻醉科
学术推广,推广领域,保健品|_|基因检测产品|_|抗体|_|抗生素|_|疫苗|_|试剂
学术推广,渠道类型,CRO公司|_|专科医院|_|中医医院|_|体检中心|_|医美机构|_|医药企业|_|医院|_|口腔诊所|_|在线医疗|_|妇幼医院|_|月子中心|_|生物企业|_|第三终端|_|药店
学术推广,药品分类,中药|_|仿制药|_|化学药|_|新药|_|特药|_|生物药
学术推广,药品性质,处方药|_|非处方药
安全主管,安全方向,安全施工|_|安全生产|_|安全监理|_|安全验收
安全主管,工程类型,公路工程|_|园林工程|_|土建工程|_|地质工程|_|安装工程|_|安防工程|_|岩土工程|_|市政工程|_|弱电工程|_|强电工程|_|房建工程|_|暖通工程|_|机电工程|_|桥梁工程|_|民航工程|_|水利工程|_|海洋工程|_|消防工程|_|港口工程|_|热力工程|_|照明工程|_|燃气工程|_|爆破工程|_|环保工程|_|电力工程|_|电梯工程|_|电气工程|_|矿山工程|_|管道工程|_|给排水工程|_|绿化工程|_|航道工程|_|装饰装修工程|_|路桥工程|_|轨道工程|_|通信工程|_|隧道工程
安全主管,建筑类型,住宅建筑|_|体育建筑|_|办公建筑|_|医疗建筑|_|商业建筑|_|工业建筑|_|教育建筑
安全主管,证书/职称,中级注册安全工程师|_|初级注册安全工程师|_|安全员C本|_|高级注册安全工程师
安全产品经理,产品行业,IT/互联网|_|人工智能|_|保险业|_|军工制造|_|制药/医疗|_|制造业|_|化工|_|基金|_|安防工程|_|广告/传媒|_|批发/零售|_|汽车行业|_|游戏|_|电子/半导体|_|矿产/采掘|_|硬件行业|_|能源/环保|_|软件行业|_|通信/网络设备|_|金融业|_|银行业
安全产品经理,产品领域,云计算/大数据|_|区块链|_|工具产品|_|招聘平台|_|支付产品|_|智慧医疗|_|智慧城市|_|智慧教育|_|智慧能源|_|服务器/存储|_|物联网|_|直播产品|_|视频会议产品|_|音视频产品
安全产品经理,安全产品方向,云安全|_|信息安全|_|内容安全|_|功能安全|_|密码安全|_|工控安全|_|数据安全|_|数据库安全|_|移动安全|_|网络安全|_|账户安全
安全员,安保方向,保镖|_|保镖|_|巡逻岗|_|巡逻岗|_|形象岗|_|形象岗|_|民航安全检查员|_|民航安全检查员
安全性能工程师,安全性能方向,安全性能分析|_|安全性能实验|_|安全性能认证|_|安全性能设计
安全性能工程师,安全性能类型,主动安全性能|_|功能安全性能|_|网络安全性能|_|被动安全性能
安全性能工程师,应用领域,IT/互联网|_|制药/医疗|_|化工|_|建筑业|_|机器人|_|汽车行业|_|电子/半导体|_|电气机械制造|_|石油/石化|_|能源/环保|_|航空航天|_|船舶制造|_|轨道交通|_|通信/网络设备
安全研究,研究方向,信息安全|_|入侵检测|_|安全防攻|_|安防监控|_|密码技术|_|工控安全|_|应急安全|_|情报安全|_|数据安全|_|施工安全|_|消防安全|_|生产安全|_|系统安全|_|网络安全|_|网络病毒防护
安全研究,研究领域,云安全|_|交通运输|_|人工智能|_|仓储/物流|_|制药/医疗|_|化工领域|_|区块链|_|大数据|_|工业自动化|_|工程施工|_|政府/事业单位|_|新能源|_|日化行业|_|机械制造|_|水文水资源工程|_|汽车行业|_|热力工程|_|燃气工程|_|物联网|_|电力领域|_|电子/半导体|_|电气机械制造|_|石油/石化|_|矿产/采掘|_|装饰装修|_|计算机|_|食品/饮料
安全管理,质量安全管理体系标准,HACCP |_|SSOP|_|环境管理体系标准|_|职业健康安全管理体系标准
安全管理,质量检测/试验方法,化学检测|_|微生物检测|_|物理检测|_|环境监测
安全管理,资格证书,安全员资格证|_|注册安全工程师证|_|消防中控证|_|质检员证书
安检,安保方向,地铁安检|_|机场安检|_|高速安检|_|高铁安检
安装工程师,地产业态,产业地产|_|住宅地产|_|办公地产|_|商业地产|_|工业地产|_|文旅地产|_|旧改项目|_|海外地产|_|综合体|_|酒店公寓
安装工程师,建筑工程职能,岩土工程师|_|架线/管道工程师|_|爆破工程师|_|路桥工程师|_|轨道交通工程师|_|隧道工程师
安装工程师,建筑施工职能,建筑设备工程师|_|施工员|_|材料员
安装工程师,建筑类型,公共建筑|_|农业建筑|_|历史建筑|_|智能建筑|_|绿色建筑|_|装配式建筑|_|高层建筑
安装工程师,建筑设计职能,建筑结构设计师|_|钢结构设计师
安装工程师,建筑软件,ArchiCAD|_|DIALux|_|Navisworks|_|PKPM|_|Revit|_|Tekla|_|品茗|_|天正|_|广联达|_|斯维尔|_|神机妙算|_|鲁班
安装工程师,设计软件,AFES|_|CAD
安装工程师,资格证书,一级建造师|_|一级注册建筑师|_|一级注册消防工程师|_|一级注册结构工程师|_|一级造价工程师|_|二级建造师|_|二级注册建筑师|_|二级注册消防工程师|_|二级注册结构工程师|_|二级造价工程师|_|安全员资格证|_|建（构）筑物消防员|_|施工员证|_|注册城乡规划师|_|注册监理工程师|_|资料员职业资格证|_|造价员证|_|驾驶证
安防,质量安全管理体系标准,HACCP |_|SSOP|_|环境管理体系标准|_|职业健康安全管理体系标准
安防,质量检测/试验方法,化学检测|_|微生物检测|_|物理检测|_|环境监测
安防,资格证书,安全员资格证|_|注册安全工程师证|_|消防中控证|_|质检员证书
安防系统工程师,EDA软件,Cadence|_|Protel
安防系统工程师,硬件工作方向,ARM开发|_|ARM开发|_|EMC测试|_|Layout设计|_|PCB设计|_|单板开发|_|单片机开发|_|器件选型|_|射频开发|_|嵌入式硬件开发|_|嵌入式软件开发|_|电路设计|_|芯片设计
安防系统工程师,硬件工具,AD|_|PADS|_|万用表|_|示波器
安防系统工程师,计算机语言方向,C++|_|C语言|_|VHDL|_|Verilog
安防系统工程师,设计软件,CAD
实习生,——,
实施工程师,项目方向,技术管理|_|技术管理|_|硬件实施|_|硬件实施|_|软件实施|_|软件实施
实施工程师,项目管理阶段,ERP实施|_|ERP实施|_|PMO|_|PMO|_|SaaS实施|_|SaaS实施|_|敏捷管理|_|敏捷管理|_|现场管理|_|现场管理|_|解决方案|_|解决方案|_|资料管理|_|资料管理|_|项目实施|_|项目实施|_|项目管理|_|项目管理
实施顾问,咨询方向,IT咨询|_|IT咨询
实施顾问,项目方向,技术管理|_|技术管理|_|硬件实施|_|硬件实施|_|软件实施|_|软件实施
实施顾问,项目管理阶段,ERP实施|_|ERP实施|_|PMO|_|PMO|_|SaaS实施|_|SaaS实施|_|敏捷管理|_|敏捷管理|_|现场管理|_|现场管理|_|解决方案|_|解决方案|_|资料管理|_|资料管理|_|项目实施|_|项目实施|_|项目管理|_|项目管理
实验室技术员,产品认证标准,CCC/3C认证|_|CCC/3C认证|_|CE认证|_|CE认证|_|GMP认证|_|GMP认证
实验室技术员,化妆品研发职责,包材相容性测试|_|包材相容性测试|_|化妆品功效评估|_|化妆品功效评估|_|化妆品配制工艺研发|_|化妆品配制工艺研发|_|新产品配方研发|_|新产品配方研发|_|配方稳定性测试|_|配方稳定性测试
实验室技术员,涂料类型,水性涂料|_|水性涂料|_|油性涂料|_|油性涂料|_|粉末涂料|_|粉末涂料
实验室技术员,质量安全管理体系标准,GJB9001|_|GJB9001|_|ISO15189|_|ISO15189|_|ISO17021|_|ISO17021|_|ISO22716|_|ISO22716|_|SSOP|_|SSOP|_|实验室质量管理体系标准|_|实验室质量管理体系标准|_|质量管理体系标准|_|质量管理体系标准|_|食品质量管理体系标准|_|食品质量管理体系标准
实验室技术员,质量管理工具/方法,6σ|_|6σ|_|8D报告|_|8D报告|_|APQP|_|APQP|_|CMK|_|CMK|_|CPK|_|CPK|_|FMEA|_|FMEA|_|FRACAS|_|FRACAS|_|FTA|_|FTA|_|MSA|_|MSA|_|PPAP|_|PPAP|_|PPK|_|PPK|_|QC七大手法|_|QC七大手法|_|SPC|_|SPC|_|全面质量管理TQM|_|全面质量管理TQM|_|精益生产|_|精益生产
实验室技术员,资格证书,分析工职业资格证书|_|分析工职业资格证书|_|化学检验员职业资格证|_|化学检验员职业资格证|_|注册化工工程师|_|注册化工工程师
实验室技术员,食品饮料研发方向,保健/功能饮料研发|_|保健/功能饮料研发|_|宠物食品研发|_|宠物食品研发|_|油脂研发|_|油脂研发|_|糖果/糕点研发|_|糖果/糕点研发|_|肉制品研发|_|肉制品研发|_|调料研发|_|调料研发|_|饮品研发|_|饮品研发
实验室负责人,产品认证标准,CCC/3C认证|_|CCC/3C认证|_|CE认证|_|CE认证|_|GMP认证|_|GMP认证
